feature_name,importance
hexamer_score,1493
1_framed_GC.gap1,430
1_framed_TDE.CAG,161
2_framed_TDE.AGG,148
1_framed_GAG,128
2_framed_AGG,125
1_framed_TT.gap1,121
2_framed_CTA,113
3_framed_AG.gap1,112
3_framed_CAA,111
3_framed_TDE.AAG,106
2_framed_GGC,105
2_framed_GCC,105
3_framed_AAG,102
1_framed_TDE.GAG,102
3_framed_CCC,98
1_framed_AGA,92
3_framed_CA.gap1,91
2_framed_AG.gap1,87
3_framed_AT.gap1,86
2_framed_GC.gap1,86
1_framed_TDE.TTG,84
CTDT_6,83
3_framed_CT.gap1,81
2_framed_TDE.ACG,81
3_framed_TDE.CAC,79
1_framed_TC.gap1,78
CTDD_46,65
3_framed_CCG,63
3_framed_AAC,62
3_framed_TA.gap1,60
3_framed_TDE.GGG,59
3_framed_CGA,59
1_framed_TDE.ACA,59
1_framed_AA.gap1,59
CTDC_4,59
1_framed_TGT,56
3_framed_GGC,56
DPC_HN,54
1_framed_GAC,53
DPC_GH,52
DPC_VK,52
CTDD_11,50
2_framed_AGT,49
2_framed_AT.gap1,49
2_framed_CT.gap1,48
3_framed_TDE.GCA,47
1_framed_ACG,47
2_framed_CCC,46
3_framed_TDE.CGA,46
CTDD_61,46
1_framed_TTG,46
DPC_SC,46
CTDC_20,44
CTDD_136,44
CTDT_32,43
CTDD_182,43
1_framed_AC.gap1,43
3_framed_TAC,42
CTDD_17,42
CTDD_173,41
2_framed_CGC,41
1_framed_TDE.AAA,41
1_framed_ATC,41
1_framed_TGG,40
CTDD_176,40
2_framed_GTG,40
AAC_N,39
DPC_DD,39
CTDD_4,39
2_framed_CAA,39
3_framed_TDE.GGA,38
DPC_AN,38
1_framed_CCA,38
1_framed_TDE.GCC,38
1_framed_GGC,37
2_framed_TDE.TCA,37
CTDC_32,36
CTDT_20,36
ORFlength,36
1_framed_TDE.GAC,35
DPC_AF,35
1_framed_TG.gap1,35
1_framed_ATG,35
3_framed_CC.gap1,35
CTDD_32,34
3_framed_GTG,34
CTDD_100,34
CTDD_169,34
1_framed_TDE.AGA,34
2_framed_GCA,34
2_framed_GT.gap1,34
DPC_ID,33
DPC_LP,33
3_framed_TC.gap1,33
CTDT_36,33
1_framed_CAG,32
CTDC_36,32
DPC_LF,32
CTDD_179,32
1_framed_TDE.AAG,31
CTDD_97,31
CTDD_31,31
2_framed_AGC,31
2_framed_TDE.CGG,30
3_framed_TDE.CAA,30
DPC_LT,30
DPC_HG,29
CTDD_43,29
CTDT_11,29
3_framed_CG.gap1,29
CTDD_33,29
2_framed_GGT,28
DPC_NE,28
1_framed_TDE.TAC,28
CTDD_69,28
AAC_I,28
1_framed_GG.gap1,27
1_framed_TDE.GTG,27
2_framed_TDE.AGC,27
1_framed_TDE.CAC,27
3_framed_CAT,27
CTDT_28,27
CTDC_8,27
2_framed_AAG,27
2_framed_CTG,27
CTDC_24,27
CTDD_98,26
3_framed_GTA,26
2_framed_TDE.GAA,26
CTDD_151,26
AAC_C,25
2_framed_CCG,25
CTDT_9,25
CTDD_77,25
CTDD_51,24
DPC_LN,24
CTDT_10,24
CTDT_33,24
DPC_MT,24
CTDD_162,23
1_framed_TDE.ACG,23
1_framed_CA.gap1,23
1_framed_AT.gap1,23
CTDD_127,23
1_framed_TDE.CTG,23
2_framed_TGG,23
1_framed_CT.gap1,22
2_framed_TTC,22
2_framed_TDE.GGC,22
CTDD_34,22
AAC_D,22
CTDD_164,22
CTDD_181,22
AAC_P,22
CTDD_132,22
DPC_CV,22
DPC_DE,21
CTDD_42,21
3_framed_TG.gap1,21
CTDC_10,21
1_framed_ATA,21
1_framed_TDE.GAT,20
CTDD_120,20
3_framed_TT.gap1,20
CTDD_83,20
CTDD_63,20
1_framed_GGT,20
3_framed_CAG,20
DPC_LL,20
CTDC_33,20
DPC_RK,20
DPC_MW,20
2_framed_TDE.GCC,20
DPC_LK,19
CTDD_73,19
AAC_V,19
CTDC_34,19
1_framed_TCG,19
2_framed_TAA,19
2_framed_TA.gap1,19
CTDD_107,18
AAC_Q,18
CTDD_119,18
2_framed_TDE.ATC,18
CTDD_84,18
1_framed_TDE.GGA,18
3_framed_CAC,18
2_framed_CTT,18
