feature_name,importance
hexamer_score,1412
CTDD_11,333
ORFlength,321
2_framed_GC.gap1,153
2_framed_AA.gap1,149
3_framed_AG.gap1,148
diff_ORFlength,141
2_framed_TAT,122
1_framed_ATA,105
CTDC_22,90
2_framed_TDE.GGA,87
3_framed_ATG,82
CTDD_183,80
2_framed_TA.gap1,79
2_framed_ATA,75
CTDC_26,75
CTDC_11,73
2_framed_ATT,73
CTDD_174,72
1_framed_TDE.CGG,70
CTDC_7,69
3_framed_GG.gap1,69
3_framed_AA.gap1,66
1_framed_TDE.AGG,66
3_framed_CA.gap1,65
AAC_K,62
1_framed_TA.gap1,62
DPC_YM,60
CTDD_34,60
3_framed_AAA,57
3_framed_ATA,57
2_framed_AT.gap1,56
AAC_P,55
3_framed_TDE.AGC,54
2_framed_GGT,54
2_framed_TDE.CAG,53
AAC_Y,53
3_framed_TA.gap1,53
1_framed_TDE.TGG,50
AAC_I,50
AAC_A,48
2_framed_TDE.GGC,47
1_framed_CG.gap1,47
CTDD_26,45
CTDD_181,45
1_framed_TDE.CCG,45
CTDT_11,44
2_framed_GGC,44
CTDD_6,44
DPC_RS,44
3_framed_CT.gap1,43
CTDT_22,43
CTDC_19,43
3_framed_TAT,41
CTDD_85,41
CTDC_35,41
CTDD_22,40
1_framed_TDE.ATA,40
CTDC_8,40
CTDD_69,39
3_framed_TDE.CCG,39
CTDT_35,38
AAC_E,38
2_framed_TDE.TAA,38
2_framed_TCG,38
3_framed_CTT,38
1_framed_AAT,38
2_framed_GT.gap1,37
DPC_IS,37
1_framed_AA.gap1,37
CTDT_24,37
CTDD_165,36
DPC_KF,36
1_framed_TDE.CAT,35
2_framed_AAA,35
1_framed_GGG,35
2_framed_TDE.ATA,34
1_framed_AGA,34
1_framed_GT.gap1,34
DPC_RW,34
CTDD_168,33
CTDD_30,33
1_framed_TDE.CCT,33
2_framed_CTT,33
CTDD_52,33
3_framed_GC.gap1,32
3_framed_TDE.AAA,32
1_framed_TDE.TTC,32
2_framed_GGA,32
CTDD_54,31
CTDC_36,31
CTDC_15,30
CTDD_44,30
CTDD_151,30
CTDD_117,30
CTDD_9,30
CTDD_138,30
1_framed_TTC,30
3_framed_TDE.GAG,30
1_framed_ACA,30
CTDC_23,30
CTDT_10,30
CTDC_33,29
CTDC_32,29
1_framed_AG.gap1,29
CTDD_46,29
1_framed_TTG,28
1_framed_CA.gap1,28
AAC_R,28
AAC_N,28
2_framed_TG.gap1,28
DPC_HM,28
DPC_HD,28
DPC_MV,27
DPC_TT,27
1_framed_AAA,27
CTDT_34,26
CTDD_13,26
CTDT_26,26
1_framed_TAT,26
CTDD_61,26
CTDD_133,26
CTDD_192,26
DPC_EG,25
CTDD_90,25
1_framed_AAG,25
3_framed_CG.gap1,25
DPC_FY,25
1_framed_TT.gap1,25
1_framed_TDE.ATG,25
1_framed_TDE.GCG,24
3_framed_ATT,24
1_framed_GA.gap1,24
CTDD_17,24
CTDD_182,24
DPC_TY,24
CTDC_13,24
DPC_FL,24
3_framed_TDE.ATG,24
CTDT_12,24
CTDD_59,24
CTDD_128,24
CTDD_126,24
CTDD_170,24
DPC_IV,24
CTDD_120,24
CTDD_91,24
CTDD_167,23
CTDC_34,23
CTDC_17,23
3_framed_TCC,23
3_framed_TDE.CTT,23
CTDD_49,23
DPC_FS,23
DPC_VG,23
2_framed_GGG,22
1_framed_CAC,22
CTDD_53,22
CTDD_106,22
2_framed_CAA,22
3_framed_TTG,22
CTDD_78,22
1_framed_CAG,22
2_framed_TDE.CTT,22
CTDD_62,21
1_framed_TDE.ATC,21
CTDT_15,21
3_framed_TDE.AAT,21
3_framed_TDE.CCT,21
CTDT_9,21
DPC_VP,21
3_framed_TDE.TGG,21
2_framed_TC.gap1,21
3_framed_AC.gap1,21
CTDT_28,21
2_framed_TTG,21
CTDD_107,20
DPC_QP,20
AAC_C,20
AAC_G,20
2_framed_TT.gap1,20
CTDD_171,20
3_framed_AT.gap1,20
2_framed_AGC,20
CTDD_143,19
DPC_LN,19
DPC_HI,19
1_framed_GCA,19
1_framed_TC.gap1,19
3_framed_CAC,19
CTDD_159,19
DPC_QF,19
CTDD_40,19
CTDD_140,19
3_framed_TAC,19
CTDD_37,19
1_framed_TCC,19
CTDT_38,18
2_framed_AG.gap1,18
3_framed_GAA,18
2_framed_CCT,18
CTDT_13,18
CTDT_33,18
CTDD_109,18
CTDC_18,18
CTDD_57,18
DPC_MK,18
3_framed_TDE.GAA,18
DPC_KK,18
3_framed_TDE.AGG,18
DPC_EY,18
3_framed_CAT,18
1_framed_GG.gap1,18
1_framed_AT.gap1,18
AAC_M,18
1_framed_TCA,17
3_framed_TDE.TCG,17
CTDD_185,17
DPC_VH,17
2_framed_TDE.AGA,17
3_framed_CCA,17
1_framed_ATT,17
3_framed_TDE.TAT,17
2_framed_TDE.ATT,17
CTDD_18,17
CTDD_83,17
DPC_IQ,17
DPC_LE,17
CTDD_173,17
3_framed_GAG,17
CTDD_79,17
CTDD_172,17
CTDD_73,17
1_framed_GTC,17
3_framed_TTA,17
2_framed_ATG,17
2_framed_TDE.GGT,16
CTDD_129,16
3_framed_GCT,16
1_framed_TDE.AAG,16
3_framed_TAA,16
3_framed_AGG,16
1_framed_CGG,16
CTDD_179,16
CTDC_28,16
2_framed_TDE.TAG,16
3_framed_CAG,15
CTDD_51,15
CTDC_4,15
CTDD_94,15
CTDD_195,15
1_framed_TGG,15
2_framed_CAC,15
3_framed_TDE.TAA,15
DPC_IK,15
2_framed_TDE.CTG,15
DPC_KY,15
CTDD_68,15
2_framed_TDE.TCC,15
3_framed_GCA,15
CTDT_25,15
1_framed_TDE.AGT,15
CTDT_5,15
DPC_LS,15
CTDC_20,15
CTDT_20,15
3_framed_TDE.CAA,14
DPC_GV,14
AAC_H,14
CTDD_70,14
CTDT_1,14
2_framed_TDE.AGC,14
CTDD_43,14
CTDT_19,14
DPC_MA,14
3_framed_TCA,14
CTDC_39,14
1_framed_AC.gap1,14
CTDT_31,14
3_framed_CTA,14
CTDD_28,14
3_framed_CGA,14
CTDD_169,14
CTDD_41,14
1_framed_TDE.GCT,13
DPC_RP,13
CTDT_4,13
CTDD_100,13
CTDD_25,13
CTDD_177,13
1_framed_CCT,13
1_framed_GC.gap1,13
CTDD_114,13
AAC_Q,13
CTDT_37,13
2_framed_AC.gap1,13
CTDD_144,13
CTDD_98,13
CTDD_193,13
DPC_NC,13
DPC_LA,13
3_framed_CTG,13
DPC_RQ,13
3_framed_GTG,13
CTDD_132,13
CTDD_89,13
CTDD_50,13
AAC_T,13
DPC_PR,12
CTDD_38,12
CTDD_139,12
3_framed_AAT,12
1_framed_TAC,12
AAC_F,12
CTDD_110,12
3_framed_TC.gap1,12
3_framed_TDE.TCT,12
CTDD_136,12
DPC_SD,12
CTDD_113,12
3_framed_TDE.ATA,12
3_framed_AGA,12
2_framed_TDE.GTC,12
DPC_MI,12
2_framed_TTC,12
CTDD_23,12
CTDD_24,12
1_framed_CT.gap1,12
CTDC_3,12
CTDT_23,12
CTDT_27,12
CTDD_127,12
3_framed_GA.gap1,12
CTDD_29,12
1_framed_CCA,12
1_framed_TDE.TTG,12
1_framed_GAT,11
CTDT_14,11
DPC_WS,11
2_framed_GA.gap1,11
DPC_IH,11
DPC_KM,11
3_framed_TDE.CTC,11
1_framed_GGT,11
CTDD_92,11
DPC_IN,11
CTDD_88,11
3_framed_TTT,11
CTDD_82,11
CTDD_47,11
CTDT_36,11
CTDD_164,11
CTDD_158,11
CTDD_184,11
CTDD_33,11
CTDD_63,11
DPC_MC,11
CTDC_2,11
CTDD_118,11
2_framed_TAA,11
CTDD_15,11
3_framed_AGC,11
3_framed_ACA,11
1_framed_GTT,11
3_framed_TT.gap1,11
2_framed_GCC,11
2_framed_CGG,11
1_framed_GGC,11
CTDD_194,11
2_framed_TTA,11
DPC_PP,10
3_framed_TDE.CCA,10
DPC_CK,10
CTDC_24,10
DPC_LF,10
CTDD_31,10
3_framed_TDE.CGA,10
DPC_PQ,10
DPC_YF,10
DPC_TI,10
CTDD_71,10
DPC_MT,10
DPC_LK,10
CTDD_42,10
DPC_MY,10
