feature_name,importance
hexamer_score,1052
2_framed_TGA,262
3_framed_TAA,232
3_framed_AG.gap1,175
ORFlength,162
3_framed_TGA,162
3_framed_CAA,140
3_framed_GAG,129
3_framed_CT.gap1,117
1_framed_AGG,116
3_framed_TDE.CAA,113
3_framed_CA.gap1,112
AAC_C,111
2_framed_TAA,106
AAC_Y,106
1_framed_TGG,102
1_framed_GC.gap1,102
CTDC_23,96
3_framed_CTA,95
AAC_F,95
3_framed_AC.gap1,94
2_framed_TG.gap1,94
CTDD_11,93
1_framed_CAT,86
1_framed_AGA,85
CTDD_46,81
3_framed_TAG,71
3_framed_CCG,68
2_framed_AG.gap1,65
1_framed_CT.gap1,64
AAC_D,61
3_framed_TA.gap1,61
2_framed_TGG,60
2_framed_TTG,59
3_framed_TDE.CAG,58
DPC_MA,57
CTDC_33,57
3_framed_CAT,57
3_framed_GGA,56
2_framed_TAG,56
1_framed_CGA,55
1_framed_AAG,55
1_framed_TA.gap1,55
3_framed_GA.gap1,54
3_framed_TDE.GGA,53
CTDC_39,52
3_framed_TDE.CAT,52
2_framed_TCA,51
3_framed_TDE.CTA,50
DPC_PA,50
2_framed_TDE.AGG,48
3_framed_TG.gap1,48
AAC_W,47
1_framed_CTA,47
1_framed_TDE.GAG,47
2_framed_TA.gap1,46
CTDC_32,46
2_framed_GGA,45
CTDD_81,45
AAC_H,45
2_framed_GGC,44
2_framed_TDE.TTG,43
3_framed_ATG,43
1_framed_GAG,42
1_framed_AA.gap1,42
CTDC_2,42
CTDD_136,41
1_framed_TAC,41
3_framed_AAG,41
3_framed_AGC,41
DPC_RK,41
1_framed_CG.gap1,41
CTDC_20,41
1_framed_TDE.ATG,40
3_framed_GT.gap1,40
1_framed_TT.gap1,40
2_framed_TDE.TCA,40
2_framed_CT.gap1,39
3_framed_TDE.GAC,39
3_framed_TAC,39
1_framed_TG.gap1,38
CTDT_4,38
1_framed_TGT,38
CTDD_23,38
CTDT_2,37
1_framed_TDE.TTC,37
2_framed_TDE.TGA,37
CTDC_22,37
CTDC_1,37
2_framed_TDE.ACA,37
DPC_EM,36
CTDC_16,36
CTDD_62,36
CTDT_30,35
CTDD_41,35
1_framed_TDE.AGA,35
2_framed_TDE.ACC,34
1_framed_TDE.GGT,34
2_framed_TAC,33
1_framed_TC.gap1,33
DPC_PY,33
1_framed_TDE.TTT,33
CTDT_33,32
DPC_WP,32
2_framed_TDE.TTA,32
3_framed_CTT,32
CTDT_38,32
DPC_VF,31
1_framed_GT.gap1,31
3_framed_TCG,30
1_framed_GAA,30
3_framed_ATC,29
CTDT_26,29
1_framed_ATG,29
AAC_P,29
1_framed_TDE.CAG,29
2_framed_ATG,28
CTDD_181,28
CTDD_74,28
2_framed_GA.gap1,28
1_framed_CCT,27
2_framed_CA.gap1,27
CTDD_72,27
CTDC_9,27
diff_ORFlength,26
1_framed_AAT,26
1_framed_TTG,25
CTDC_11,25
CTDD_154,25
CTDT_35,25
CTDD_87,24
CTDT_19,24
2_framed_CTT,24
DPC_QP,24
DPC_AE,24
2_framed_TCT,24
CTDD_52,24
CTDD_26,24
DPC_QW,23
1_framed_TAT,23
3_framed_TDE.AAG,23
2_framed_TDE.CCA,23
CTDD_51,23
2_framed_TDE.CTC,23
2_framed_TDE.TAG,23
2_framed_TDE.TCT,23
DPC_DE,22
3_framed_TTG,22
3_framed_GG.gap1,22
2_framed_TDE.TTC,22
CTDD_178,22
2_framed_CTA,22
3_framed_CGT,22
CTDD_61,22
2_framed_ACC,22
1_framed_ATA,22
2_framed_GG.gap1,22
1_framed_GG.gap1,22
1_framed_CGC,22
1_framed_GA.gap1,22
2_framed_TDE.AGT,22
1_framed_TDE.CCC,22
2_framed_GAA,21
DPC_MT,21
CTDD_99,21
CTDD_117,21
3_framed_TGG,21
1_framed_TDE.TAC,21
1_framed_GTA,21
1_framed_TDE.AAA,21
CTDD_152,21
DPC_KR,21
CTDD_22,21
2_framed_AA.gap1,20
3_framed_TDE.CGA,20
3_framed_ACC,20
1_framed_CCC,20
