feature_name,importance
hexamer_score,1259
CTDC_33,265
AAC_C,251
CTDD_11,247
3_framed_TDE.CAA,195
1_framed_CT.gap1,170
1_framed_AGG,154
AAC_Y,152
ORFlength,140
2_framed_GC.gap1,137
2_framed_GG.gap1,133
3_framed_GG.gap1,131
3_framed_AG.gap1,119
2_framed_TDE.ATG,114
1_framed_TDE.GAA,110
2_framed_TDE.TTG,110
1_framed_TGG,107
1_framed_CGG,104
1_framed_AGA,97
3_framed_TCG,96
2_framed_GGG,93
AAC_H,92
3_framed_TA.gap1,91
diff_ORFlength,89
AAC_D,87
1_framed_TDE.AGG,86
2_framed_GGC,83
CTDC_26,83
CTDD_31,81
1_framed_GA.gap1,80
1_framed_CC.gap1,80
CTDC_22,79
2_framed_TG.gap1,78
3_framed_TDE.CAT,77
1_framed_TDE.GAT,77
1_framed_TDE.ATC,76
2_framed_CCC,74
1_framed_CGA,73
3_framed_TDE.TGC,72
3_framed_CT.gap1,69
CTDC_1,68
CTDC_20,67
AAC_P,67
DPC_PR,67
1_framed_AT.gap1,61
3_framed_CCA,61
3_framed_AC.gap1,61
AAC_K,59
3_framed_TTT,59
3_framed_CAA,57
1_framed_TDE.ATG,56
2_framed_TDE.AGA,55
CTDD_155,54
3_framed_CAT,54
1_framed_ATC,53
AAC_I,53
3_framed_CGA,52
3_framed_GGG,52
1_framed_TDE.GGA,51
2_framed_AG.gap1,51
3_framed_CAG,50
3_framed_GTG,50
1_framed_CCA,49
DPC_MA,47
1_framed_AA.gap1,45
CTDT_35,45
AAC_F,45
2_framed_CT.gap1,44
3_framed_CCC,44
1_framed_CAC,43
3_framed_TDE.TAA,41
1_framed_TGT,41
1_framed_GC.gap1,40
1_framed_TDE.TGG,40
1_framed_GGG,40
1_framed_TDE.ATT,40
2_framed_CGG,39
3_framed_CA.gap1,39
1_framed_AAG,38
2_framed_GTG,37
2_framed_TA.gap1,37
1_framed_TGC,37
1_framed_GT.gap1,37
1_framed_AC.gap1,36
2_framed_GGT,35
1_framed_TTC,35
CTDD_193,35
DPC_SS,34
CTDC_11,34
DPC_TG,34
DPC_SW,34
2_framed_CG.gap1,33
1_framed_TDE.TTC,33
1_framed_TG.gap1,33
CTDD_47,33
CTDC_23,33
DPC_DP,33
3_framed_TDE.TGG,33
CTDD_106,32
2_framed_CAC,32
2_framed_TGG,32
CTDT_26,32
AAC_W,32
AAC_N,32
CTDT_16,32
3_framed_TDE.GTG,32
2_framed_CC.gap1,31
3_framed_CCG,31
CTDC_32,31
2_framed_TDE.TGG,31
2_framed_AA.gap1,30
1_framed_TCA,29
DPC_ST,29
1_framed_TDE.GAC,28
CTDC_4,28
2_framed_TDE.AAG,28
1_framed_CA.gap1,28
1_framed_TDE.TGC,27
3_framed_TDE.CCA,27
CTDD_99,27
AAC_Q,27
3_framed_CTA,26
CTDT_11,26
CTDD_43,26
3_framed_GAG,26
DPC_CR,26
DPC_TD,26
3_framed_AAG,26
DPC_QE,26
CTDD_161,25
3_framed_TC.gap1,25
3_framed_TTA,25
CTDD_111,25
DPC_CV,25
CTDC_7,25
CTDT_10,25
CTDT_33,25
1_framed_TDE.AAC,24
2_framed_TDE.GAA,24
1_framed_GAC,24
CTDC_16,24
2_framed_CAT,24
DPC_WG,24
3_framed_GGA,24
DPC_PL,23
2_framed_GCC,23
CTDD_22,23
AAC_S,23
2_framed_TDE.TCA,23
CTDC_18,22
1_framed_TDE.AAG,22
1_framed_TDE.CCT,22
DPC_GR,22
3_framed_TAA,22
2_framed_TTG,22
