feature_name,importance
hexamer_score,1255
3_framed_CAA,234
3_framed_TAA,196
AAC_Y,191
3_framed_AAG,189
3_framed_TGA,172
2_framed_TGA,158
3_framed_CT.gap1,152
3_framed_GAG,152
2_framed_TDE.TTG,142
2_framed_TTG,128
3_framed_TDE.GGA,113
1_framed_TGG,109
1_framed_GC.gap1,107
3_framed_TAG,105
2_framed_TDE.TCA,104
CTDT_33,101
3_framed_TDE.CAA,96
3_framed_GGA,96
3_framed_AG.gap1,91
CTDC_33,87
2_framed_TCA,85
AAC_I,79
2_framed_TAA,77
3_framed_CAT,76
ORFlength,75
1_framed_AAG,75
1_framed_TG.gap1,75
AAC_C,73
AAC_F,70
2_framed_TDE.TGA,69
3_framed_CA.gap1,66
CTDD_4,66
2_framed_TA.gap1,65
3_framed_TDE.CTA,63
1_framed_CT.gap1,63
3_framed_TDE.CTT,61
2_framed_GG.gap1,61
3_framed_CTA,60
3_framed_TDE.CAT,60
3_framed_TGG,59
CTDD_84,59
CTDC_11,57
3_framed_TDE.GGT,57
2_framed_TGC,56
2_framed_AG.gap1,54
3_framed_ATG,54
2_framed_TDE.TCT,53
2_framed_GGC,52
1_framed_TAT,52
3_framed_GTA,52
1_framed_TA.gap1,50
1_framed_TTC,50
1_framed_AA.gap1,49
CTDD_172,49
2_framed_AGT,48
2_framed_TDE.AGG,48
3_framed_CCG,48
3_framed_TDE.GAT,48
CTDD_79,48
1_framed_TDE.CTA,47
1_framed_TDE.TAC,47
3_framed_TDE.TGA,46
2_framed_CGA,46
DPC_IR,46
AAC_W,46
CTDD_93,45
2_framed_TDE.ATG,45
3_framed_GAC,44
1_framed_AGA,43
CTDC_23,43
2_framed_TDE.TAG,43
AAC_A,42
3_framed_TDE.CCG,42
1_framed_TDE.GAC,41
1_framed_TDE.GAT,40
3_framed_TDE.TTC,40
2_framed_CTG,40
CTDD_161,39
1_framed_TDE.AAA,39
CTDT_27,38
CTDD_120,38
2_framed_TGT,37
3_framed_TGC,36
2_framed_TG.gap1,36
CTDD_76,34
CTDD_80,34
3_framed_GA.gap1,34
AAC_R,34
1_framed_TDE.CGT,33
1_framed_TAC,33
1_framed_CAT,32
DPC_SD,32
AAC_M,32
1_framed_GTA,32
CTDD_94,32
2_framed_CAA,32
CTDC_39,31
1_framed_TDE.AGA,31
2_framed_TCT,31
2_framed_CCA,30
3_framed_TDE.AAG,30
diff_ORFlength,30
1_framed_GCC,29
CTDC_10,29
2_framed_TDE.CTC,29
2_framed_TGG,29
2_framed_GA.gap1,28
3_framed_AGA,28
AAC_S,28
CTDD_51,28
3_framed_TTC,28
DPC_FS,28
3_framed_CAC,27
3_framed_ATA,27
2_framed_TDE.ATC,27
CTDT_26,27
CTDD_192,27
1_framed_TDE.GCA,27
1_framed_AG.gap1,26
1_framed_TDE.CCT,26
3_framed_TDE.GAG,26
CTDD_91,26
1_framed_TDE.CAG,26
CTDD_136,26
DPC_EN,26
DPC_IW,26
3_framed_TDE.GGC,26
CTDD_1,25
2_framed_TDE.ACC,25
1_framed_TDE.CTG,25
CTDD_31,25
1_framed_TGC,25
3_framed_TDE.GTC,24
2_framed_TDE.GGC,24
1_framed_TDE.TTG,24
DPC_YK,24
1_framed_TDE.ATG,24
3_framed_GG.gap1,24
1_framed_TDE.TGG,24
CTDD_171,24
CTDD_15,24
1_framed_TDE.ATC,24
CTDD_82,24
2_framed_AT.gap1,24
3_framed_TDE.AGC,24
AAC_G,24
DPC_LR,24
2_framed_AGA,23
CTDC_34,23
CTDT_10,23
3_framed_TG.gap1,23
1_framed_CG.gap1,23
3_framed_TA.gap1,23
CTDT_34,23
1_framed_GG.gap1,23
2_framed_TDE.CCT,22
1_framed_TDE.ATT,22
CTDD_184,22
CTDD_5,22
2_framed_ATG,22
CTDT_19,22
CTDC_2,22
1_framed_ATG,21
CTDD_154,21
CTDT_38,21
AAC_T,21
1_framed_TDE.CTC,21
CTDD_3,21
CTDC_22,21
2_framed_TAG,20
CTDD_143,20
CTDD_173,20
CTDT_32,20
3_framed_TDE.TGC,20
DPC_EG,20
1_framed_CCA,20
CTDD_87,20
1_framed_TDE.TTC,20
DPC_HS,20
3_framed_AGC,20
CTDT_5,20
1_framed_TDE.AGG,20
1_framed_AGG,20
1_framed_TDE.CAT,19
AAC_K,19
1_framed_TDE.ACC,19
1_framed_TT.gap1,19
DPC_QL,19
CTDD_126,19
CTDD_61,19
CTDT_14,19
1_framed_ATT,19
DPC_KL,19
CTDD_49,19
DPC_PP,19
CTDD_168,19
CTDD_163,19
DPC_DL,18
3_framed_AC.gap1,18
2_framed_TDE.CTG,18
CTDD_96,18
CTDD_57,18
CTDT_31,18
2_framed_TDE.AAA,18
1_framed_CAA,18
CTDD_7,18
3_framed_TCG,18
2_framed_TDE.GCC,18
1_framed_CTA,17
CTDD_13,17
CTDD_119,17
2_framed_TC.gap1,17
CTDD_132,17
2_framed_TDE.TGT,17
CTDD_39,17
1_framed_GCA,17
3_framed_TDE.CAC,17
1_framed_CA.gap1,17
CTDT_4,17
3_framed_TDE.CTC,17
1_framed_CCG,17
1_framed_TC.gap1,17
CTDT_2,17
DPC_AQ,16
CTDD_6,16
2_framed_TDE.AGA,16
3_framed_TDE.AGT,16
DPC_YI,16
2_framed_TDE.GTG,16
1_framed_TDE.GTA,16
3_framed_TDE.GCT,16
DPC_EI,16
CTDT_13,16
1_framed_AGC,16
CTDD_43,16
2_framed_ATT,16
1_framed_CC.gap1,16
CTDD_30,16
CTDD_78,16
CTDD_63,16
CTDD_67,15
2_framed_TDE.ACA,15
1_framed_TDE.GAG,15
3_framed_TDE.AGA,15
2_framed_TCC,15
DPC_LL,15
1_framed_TDE.GTG,15
1_framed_TDE.GGC,15
CTDC_35,15
CTDC_5,15
CTDD_137,15
DPC_IP,15
CTDC_37,15
3_framed_CC.gap1,15
1_framed_TDE.AGC,15
CTDD_176,15
1_framed_TTG,15
3_framed_TDE.GCG,15
DPC_DR,14
3_framed_TAT,14
DPC_YV,14
AAC_H,14
AAC_P,14
DPC_YD,14
DPC_TS,14
3_framed_CCC,14
CTDD_193,14
DPC_TQ,14
3_framed_TDE.GCC,14
DPC_QV,14
DPC_PI,14
2_framed_CT.gap1,14
2_framed_CC.gap1,14
2_framed_TDE.GCT,14
2_framed_GCC,14
3_framed_GCT,14
CTDD_142,13
CTDT_23,13
2_framed_TDE.CCA,13
3_framed_CCA,13
DPC_QS,13
2_framed_TAT,13
CTDT_1,13
AAC_D,13
3_framed_TDE.GAC,13
2_framed_CG.gap1,13
3_framed_TTG,13
CTDD_41,13
2_framed_GT.gap1,13
1_framed_TDE.CTT,13
2_framed_AC.gap1,13
3_framed_GTC,13
3_framed_AAT,12
CTDD_151,12
1_framed_GA.gap1,12
CTDD_134,12
DPC_CS,12
1_framed_TDE.CAA,12
2_framed_ACT,12
2_framed_ACA,12
DPC_LV,12
2_framed_AA.gap1,12
CTDD_127,12
1_framed_TDE.GCC,12
3_framed_TDE.AGG,12
CTDD_98,12
CTDD_174,12
CTDD_54,12
CTDD_194,12
AAC_N,12
CTDD_52,12
3_framed_TDE.TCG,12
1_framed_TDE.TCT,12
1_framed_TCT,12
3_framed_GCA,12
3_framed_TDE.TAG,11
DPC_IV,11
1_framed_TDE.CCA,11
1_framed_CGT,11
CTDT_12,11
CTDT_11,11
CTDD_144,11
CTDD_181,11
3_framed_TDE.ACC,11
1_framed_GT.gap1,11
1_framed_GGA,11
CTDT_28,11
1_framed_GGG,11
1_framed_ACC,11
CTDD_169,11
3_framed_TDE.CAG,11
1_framed_TDE.AAG,11
CTDC_36,11
CTDC_13,11
DPC_ND,11
3_framed_GT.gap1,11
3_framed_CTG,11
CTDD_40,11
CTDC_15,11
DPC_SC,11
3_framed_TCA,11
DPC_SR,11
2_framed_TDE.AGC,11
CTDD_42,11
CTDD_81,10
CTDD_160,10
DPC_DP,10
CTDD_167,10
DPC_DI,10
2_framed_AGC,10
DPC_TA,10
2_framed_TDE.AGT,10
1_framed_ATA,10
2_framed_AAC,10
CTDD_45,10
CTDD_47,10
1_framed_CGC,10
3_framed_CGA,10
CTDT_36,10
1_framed_TDE.AAC,10
3_framed_TT.gap1,10
3_framed_TDE.TCA,10
2_framed_CGG,10
CTDD_133,10
2_framed_TDE.GTC,10
DPC_HR,10
2_framed_GAC,10
CTDD_117,10
CTDD_33,10
CTDC_28,9
CTDC_1,9
DPC_KE,9
CTDD_102,9
CTDD_182,9
2_framed_TDE.AAG,9
CTDD_185,9
1_framed_AC.gap1,9
3_framed_AA.gap1,9
DPC_MV,9
CTDD_11,9
3_framed_GAT,9
3_framed_TDE.CTG,9
DPC_LQ,9
3_framed_TDE.TCC,9
CTDD_48,9
1_framed_GAG,9
CTDC_7,9
CTDC_9,9
3_framed_TDE.TGG,9
1_framed_CTG,9
3_framed_GCC,9
1_framed_CTC,9
DPC_QE,9
CTDD_180,9
1_framed_TDE.CGA,9
CTDT_20,9
DPC_GV,9
2_framed_CCT,9
DPC_RL,9
2_framed_TTT,9
DPC_IA,9
2_framed_CAG,9
DPC_IH,9
DPC_DK,9
DPC_IL,9
2_framed_TDE.CAA,9
DPC_MN,9
2_framed_GGA,9
DPC_AE,9
3_framed_TDE.CCT,9
3_framed_TDE.CCC,9
CTDC_14,8
CTDC_31,8
CTDC_17,8
CTDD_25,8
CTDD_105,8
CTDD_114,8
CTDD_50,8
CTDD_100,8
CTDC_24,8
DPC_LF,8
CTDC_4,8
CTDT_9,8
AAC_L,8
CTDD_177,8
CTDD_72,8
DPC_KD,8
CTDT_39,8
2_framed_TAC,8
1_framed_TDE.GGG,8
2_framed_GTT,8
2_framed_GAA,8
2_framed_TDE.GCG,8
3_framed_CTT,8
1_framed_ATC,8
1_framed_CGA,8
3_framed_CAG,8
2_framed_CTA,8
3_framed_TGT,8
2_framed_CTC,8
DPC_KR,7
2_framed_TDE.CAG,7
CTDD_70,7
1_framed_GAA,7
3_framed_CG.gap1,7
3_framed_TC.gap1,7
2_framed_TDE.GGA,7
1_framed_TDE.TTT,7
CTDD_155,7
2_framed_CTT,7
CTDD_23,7
CTDD_92,7
CTDD_77,7
DPC_FG,7
3_framed_AGG,7
2_framed_TDE.ACT,7
CTDD_83,7
DPC_VE,7
2_framed_TDE.TAC,7
DPC_PR,7
DPC_PL,7
1_framed_GGT,7
CTDD_178,7
1_framed_GGC,7
DPC_VT,7
2_framed_AAA,7
CTDD_75,7
1_framed_CAG,7
CTDT_16,7
3_framed_GCG,7
2_framed_TDE.TGG,7
2_framed_ATC,7
2_framed_ATA,7
1_framed_TDE.GAA,7
2_framed_CAC,7
DPC_RQ,7
CTDD_162,7
1_framed_TDE.GGA,7
3_framed_TDE.TAA,7
1_framed_TDE.CCC,7
3_framed_CCT,7
CTDD_104,7
CTDD_131,7
CTDD_103,7
CTDC_8,7
CTDD_69,7
2_framed_AGG,7
CTDD_68,7
AAC_E,7
CTDD_38,6
CTDT_3,6
1_framed_AAA,6
DPC_EE,6
CTDD_111,6
CTDD_128,6
DPC_VA,6
2_framed_GCG,6
DPC_EP,6
DPC_KA,6
DPC_RG,6
2_framed_TDE.TAA,6
DPC_ET,6
3_framed_TDE.CGG,6
DPC_RS,6
CTDD_135,6
DPC_GY,6
1_framed_TDE.ACA,6
DPC_LE,6
DPC_LD,6
DPC_LP,6
CTDD_12,6
