feature_name,importance
hexamer_score,1143
AAC_C,209
1_framed_AGA,184
CTDC_33,182
1_framed_AGG,175
2_framed_GC.gap1,175
1_framed_CT.gap1,149
1_framed_TDE.TAT,141
3_framed_CAA,139
AAC_Y,137
3_framed_GG.gap1,132
3_framed_GAG,131
AAC_H,128
AAC_N,122
CTDD_155,111
2_framed_TG.gap1,111
1_framed_TGG,111
1_framed_CGA,108
3_framed_AG.gap1,104
CTDT_26,103
1_framed_CGG,94
1_framed_TDE.ATC,93
3_framed_TDE.CAA,87
3_framed_TTG,87
2_framed_GT.gap1,85
1_framed_CAA,84
3_framed_CAT,80
CTDT_33,80
CTDC_11,80
ORFlength,79
3_framed_CCG,76
1_framed_CA.gap1,75
diff_ORFlength,75
AAC_F,74
1_framed_TDE.GAT,74
AAC_D,74
CTDC_2,72
1_framed_AC.gap1,71
CTDT_38,71
DPC_MA,71
2_framed_GGA,70
1_framed_CCA,69
2_framed_ATG,67
CTDT_16,65
2_framed_TDE.CCA,65
CTDC_23,62
2_framed_TDE.ATG,62
3_framed_AAG,61
AAC_S,60
2_framed_CC.gap1,60
DPC_KV,59
2_framed_GG.gap1,59
CTDT_10,58
1_framed_AT.gap1,58
AAC_I,58
2_framed_AG.gap1,57
CTDD_55,56
1_framed_TDE.ATT,55
1_framed_GA.gap1,54
CTDD_42,54
2_framed_TDE.TGG,54
CTDD_11,53
CTDC_22,52
1_framed_AAT,52
2_framed_AT.gap1,51
2_framed_CAA,51
1_framed_CAC,50
2_framed_GAC,50
3_framed_TDE.CTA,48
CTDC_26,48
2_framed_GGG,46
3_framed_TDE.GAG,45
1_framed_CC.gap1,44
3_framed_GA.gap1,44
CTDD_173,44
CTDD_120,43
CTDD_87,43
2_framed_TDE.TTG,43
CTDT_21,43
1_framed_AAG,42
CTDC_17,42
1_framed_TGC,41
CTDC_32,41
CTDC_34,41
1_framed_TDE.AGG,40
1_framed_AA.gap1,40
DPC_PA,40
1_framed_TDE.TGG,39
3_framed_GCC,38
DPC_FG,38
2_framed_TDE.AGG,37
CTDD_43,37
CTDC_39,37
1_framed_CG.gap1,36
AAC_W,35
CTDT_35,35
CTDT_25,34
1_framed_TDE.CCA,34
3_framed_CC.gap1,34
2_framed_GGT,33
1_framed_TG.gap1,33
CTDC_1,33
CTDT_2,33
CTDD_164,33
1_framed_TAC,33
2_framed_TDE.CAC,31
1_framed_TDE.AAT,31
2_framed_CAG,31
AAC_K,31
AAC_A,30
2_framed_TDE.ATA,30
3_framed_TDE.CAT,30
3_framed_TG.gap1,30
1_framed_TDE.AAG,29
CTDC_20,29
CTDD_161,29
3_framed_AC.gap1,29
2_framed_TCA,29
CTDD_95,29
1_framed_ATT,29
3_framed_TDE.TAA,28
2_framed_TDE.CCC,28
1_framed_CTG,28
2_framed_AA.gap1,28
3_framed_GGT,27
DPC_PC,27
CTDC_19,27
CTDT_8,27
1_framed_TDE.TGC,27
1_framed_ATA,26
AAC_P,26
3_framed_TDE.CTT,25
DPC_LC,25
3_framed_GAC,25
AAC_R,25
1_framed_GCA,25
2_framed_TDE.TCA,25
1_framed_GTA,24
2_framed_GA.gap1,24
DPC_YG,24
3_framed_CTG,23
CTDC_30,23
CTDD_19,23
CTDD_35,23
2_framed_TDE.AAG,23
3_framed_TC.gap1,23
2_framed_TT.gap1,23
CTDD_57,23
2_framed_GTC,23
3_framed_GTT,23
1_framed_TDE.TTG,23
DPC_DS,22
1_framed_ATC,22
1_framed_CTT,22
CTDD_104,22
1_framed_TDE.GAC,22
DPC_SS,22
3_framed_CT.gap1,22
2_framed_ATA,22
1_framed_TDE.GTG,21
3_framed_TDE.TGA,21
CTDC_5,21
DPC_VS,21
CTDD_102,20
CTDD_77,20
CTDT_22,20
